label,question
3,Apakah temuan laboratorium seperti peningkatan kadar hormon perangsung tiroid (TSH) merupakan gejala dari penyakit Graves?
2,Mengapa wanita berusia 40 tahun berisiko mengalami penyakit Graves?
4,Apakah pemeriksaan radioactive iodine uptake scan perlu dilakukan untuk menegakan diagnosis penyakit Graves?
3,Apakah sensitif terhadap suhu panas dan sering berkeringat merupakan salah satu tanda dan gejala dari penyakit Graves?
3,Apakah detak jantung yang cepat atau tidak teratur merupakan salah satu tanda dan gejala dari penyakit Graves?
3,Apakah keluhan sensitif terhadap cahaya yang disertai dengan mata menonjol merupakan salah satu gejala dari penyakit Graves?
4,Tes darah seperti apa yang diperlukan untuk memastikan diagnosis penyakit Graves?
4,Pemeriksaan fisik seperti apa yang diperlukan untuk memastikan kecurigaan penyakit Graves?
4,Apakah pemeriksaan USG bermanfaat untuk mendiagnosis penyakit Graves?
4,Apakah pemeriksaan radiologi seperti CT-Scan dan MRI bermanfaat untuk mendiagnosis penyakit Graves?
5,Aapakah obat tiroid PTU memiliki efek samping untuk ibu-ibu hamil?
5,Apakah obat tiroid Methimazole memiliki efek samping untuk ibu-ibu hamil?
5,Kapan bisa dilakukan pembedahan untuk mengatasi Graves disease?
6,Apakah penyakit Graves dapat mengakibatkan risiko keguguran pada ibu-ibu hamil?
6,Apakah penyakit Graves yang tidak ditangani dengan baik dapat mengakibatkan kejang-kejang?
6,Apakah penyakit Graves yang tidak ditangani dengan baik dapat mengakibatkan koma atau tidak sadarkan diri?
6,Apakah penyakit Graves yang tidak ditangani dengan baik dapat mengakibatkan mengigau (delirium)?
6,"Jika pada laki-laki, apakah sangat mungkin penyakit Graves mengakibatkan gangguan fungsi seksual?"
6,Apakah penyakit Graves mungkin menyebabkan kematian pada penderitanya?
1,Apakah penyakit Graves jika mendapatkan pengobatan yang tepat dapat menghilang sepenuhnya?
3,Apakah penurunan libido merupakan salah satu dari gejala Graves disease?
3,Apakah buang air besar yang lebih sering merupakan salah satu dari gejala Graves disease?
3,Apakah gangguan tidur merupakan salah satu dari gejala Graves disease?
6,Apakah komplikasi penyakit Graves disease pada ibu-ibu hamil dapat mengakibatkan bayi lahir prematur?
5,Apakah steroid dapat digunakan untuk mengobati penyakit Graves?
3,Apa saja yang termasuk gejala klasik Graves disease?
4,Dari mana memulai pemeriksaan untuk penyakit Graves?
5,Apakah tiroidektomi dapat digunakan untuk mengatasi penyakit Graves disease?
5,Apakah penggunaan propanolol dapat membantu mengatasi keluhan jantung berdebar pada penyakit Graves?
3,"Saya sering merasa kegerahan di suhu udara yang biasa saja, kira-kira kenapa ya, dok?"
3,"Saya mengalami benjolan di leher, apakah itu salah satu tanda gangguan kelenjar gondok?"
3,Apakah penyakit Graves menyebabkan siklus menstruasi tidak teratur?
3,Apakah penyakit Graves menyebabkan siklus haid tidak teratur?
5,Bagaimana cara mengobati penyakit Graves?
5,Apakah pengangkatan kelenjar tiroid merupakan solusi dari penyakit Graves?
1,Apakah penyakit Graves bisa disembuuhkan?
3,Bagaimana cara dokter mendiagnosis Graves disease?
3,Bagaimana kita mengenali tanda dan gejala dari penyakit Graves?
3,"Merasa mudah lelah padahal tidak melakukan apapun, apakah mungkin gejala dari ganggungan kelenjar tiroid?"
3,Apakah ada cara mudah mengetahui tanda dan gejala penyakit Graves?
3,Mata sulit dipejamkan dan kering tanda penyakit Graves?
1,Apakah penyebab utama dari penyakit Graves?
2,Apa saja faktor-faktor yang meningkatkan risiko seseorang mengalami penyakit Graves?
1,Apakah penyakit Graves menular ke orang lain?
1,Apa yang dimaksud dengan penyakit Graves?
4,Apa saja pengobatan yang dapat diberikan untuk mengatasi penyakit Graves?
3,Apakah gugup dan mudah tersinggung merupakan gejala dari penyakit Graves?
3,Berat badan turun drastis tanpa diet merupakan tanda penyakit Graves?
2,Apakah faktor keturunan berperan dalam risiko penyakit Graves?
2,Apakah riwayat operasi pada kelenjar tiroid salah satu faktor risiko penyakit Graves?
2,Apakah riwayat penyakit tiroid pada keluarga merupakan salah satu faktor risiko penyakit Graves?
3,Apakah kelemahan otot merupakan salah satu gejala dari penyakit Graves?
3,Apakah intoleran terhadap suhu panas merupakan salah satu gejala dari penyakit Graves?
3,Apakah diare merupakan salah satu gejala dari penyakit Graves?
3,Apakah mood swing merupakan salah satu gejala dari penyakit Graves?
6,Apakah penyakit Graves dapat mengakibatkan serangan jantung?
6,Apakah penyakit Graves pada ibu-ibu hamil dapat mengakibatkan hipertensi dalam kehamilan?
5,Apa saja tes tiroid yang diperlukan untuk memastikan diagnosis penyakit Graves?
3,"Mata terus melotot, waspadai penyakit Graves?"
5,"Terapi radioiodine untuk penyakit Graves, bisa kah dilakukan?"
5,Apakah terapi lini pertama untuk penyakit Graves?
6,Apakah penyakit Graves dapat mengakibatkan gagal jantung?
3,Apakah sering buang air kecil merupakan gejala dari penyakit Graves?
2,Apakah orang yang memiliki gangguan sistem kekebalan tubuh berisiko mengalami penyakit Graves?
2,"Merokok menyebabkan penyakit Graves, benarkah?"
3,"Apakah keluhan mata seperti rasa mengganjal, kesulitan menggerakkan mata, dan mata tampak menonjol merupakan tanda dan gejala dari penyakit Graves?"
1,Apakah penyakit Graves disebabkan oleh sistem kekebalan tubuh yang menyerang dirinya sendiri?
1,Apakah penyakit Graves disebabkan oleh produksi hormon tiroid yang berlebihan?
1,Apakah penyakit Graves bisa sembuh total?
3,Apakah kelenjar gondok pada penyakit Graves selalu membesar?
6,Apakah penyakit Graves dapat mengakibatkan infertilitas pada pasangan?
1,Apakah ada cara untuk mencegah penyakit Graves?
1,Apakah penyakit Graves termasuk ke dalam penyakit autoimun?
6,Apakah dampak penyakit Grave terhadap kesehatan tulang?
